module_name,object_name,stream,symbol_size,source_file_count,range_section,range_offset,range_size,flags
E:\BattleZoneTest\build\obj\Release\battlezone\GameObjectClass.obj,E:\BattleZoneTest\build\obj\Release\battlezone\GameObjectClass.obj,150,17252,1162,1,451520,2170,0
E:\BattleZoneTest\build\obj\Release\battlezone\GameObjectHandle.obj,E:\BattleZoneTest\build\obj\Release\battlezone\GameObjectHandle.obj,151,148,3,-1,0,-1,0
E:\BattleZoneTest\build\obj\Release\battlezone\GechProcess.obj,E:\BattleZoneTest\build\obj\Release\battlezone\GechProcess.obj,152,8292,18,1,456224,139,0
E:\BattleZoneTest\build\obj\Release\battlezone\Geizer.obj,E:\BattleZoneTest\build\obj\Release\battlezone\Geizer.obj,153,8120,24,1,458304,583,0
E:\BattleZoneTest\build\obj\Release\battlezone\GeizerClass.obj,E:\BattleZoneTest\build\obj\Release\battlezone\GeizerClass.obj,154,2648,10,1,459936,210,0
E:\BattleZoneTest\build\obj\Release\battlezone\Geometry.obj,E:\BattleZoneTest\build\obj\Release\battlezone\Geometry.obj,155,8156,17,1,461296,91,0
E:\BattleZoneTest\build\obj\Release\battlezone\GotoGeyser.obj,E:\BattleZoneTest\build\obj\Release\battlezone\GotoGeyser.obj,156,6424,23,1,464704,164,0
E:\BattleZoneTest\build\obj\Release\battlezone\GotoTask.obj,E:\BattleZoneTest\build\obj\Release\battlezone\GotoTask.obj,157,20080,23,1,472912,159,0
E:\BattleZoneTest\build\obj\Release\battlezone\Grenade.obj,E:\BattleZoneTest\build\obj\Release\battlezone\Grenade.obj,158,2012,15,1,474208,284,0
E:\BattleZoneTest\build\obj\Release\battlezone\GrenadeClass.obj,E:\BattleZoneTest\build\obj\Release\battlezone\GrenadeClass.obj,159,2136,13,1,9312,234,0
E:\BattleZoneTest\build\obj\Release\battlezone\GroundBlast.obj,E:\BattleZoneTest\build\obj\Release\battlezone\GroundBlast.obj,160,2708,12,1,9552,52,0
E:\BattleZoneTest\build\obj\Release\battlezone\GunTowerProcess.obj,E:\BattleZoneTest\build\obj\Release\battlezone\GunTowerProcess.obj,161,6824,21,1,475296,76,0
E:\BattleZoneTest\build\obj\Release\battlezone\HealthPowerup.obj,E:\BattleZoneTest\build\obj\Release\battlezone\HealthPowerup.obj,162,908,10,1,476896,205,0
E:\BattleZoneTest\build\obj\Release\battlezone\HealthPowerupClass.obj,E:\BattleZoneTest\build\obj\Release\battlezone\HealthPowerupClass.obj,163,3068,11,1,477280,210,0
E:\BattleZoneTest\build\obj\Release\battlezone\HovCondition.obj,E:\BattleZoneTest\build\obj\Release\battlezone\HovCondition.obj,164,676,12,1,477776,103,0
E:\BattleZoneTest\build\obj\Release\battlezone\HoverCraft.obj,E:\BattleZoneTest\build\obj\Release\battlezone\HoverCraft.obj,165,27508,41,1,477888,1444,0
E:\BattleZoneTest\build\obj\Release\battlezone\HoverCraftClass.obj,E:\BattleZoneTest\build\obj\Release\battlezone\HoverCraftClass.obj,166,5616,16,1,498336,2025,0
E:\BattleZoneTest\build\obj\Release\battlezone\HoverInterface.obj,E:\BattleZoneTest\build\obj\Release\battlezone\HoverInterface.obj,167,148,12,-1,0,-1,0
E:\BattleZoneTest\build\obj\Release\battlezone\Howitzer.obj,E:\BattleZoneTest\build\obj\Release\battlezone\Howitzer.obj,168,2900,25,1,500640,322,0
E:\BattleZoneTest\build\obj\Release\battlezone\HowitzerClass.obj,E:\BattleZoneTest\build\obj\Release\battlezone\HowitzerClass.obj,169,2140,16,1,501984,96,0
E:\BattleZoneTest\build\obj\Release\battlezone\HuntTask.obj,E:\BattleZoneTest\build\obj\Release\battlezone\HuntTask.obj,170,6428,66,1,502624,163,0
E:\BattleZoneTest\build\obj\Release\battlezone\I76Common.obj,E:\BattleZoneTest\build\obj\Release\battlezone\I76Common.obj,171,144,187,-1,0,-1,0
E:\BattleZoneTest\build\obj\Release\battlezone\ImageLauncher.obj,E:\BattleZoneTest\build\obj\Release\battlezone\ImageLauncher.obj,172,4368,18,1,505280,56,0
