api_name,string_addr,table_entry,func_ptr,func_rva,func_name,func_defined
IsLocal,0x87c52c,0x871cd8,0x5005c0,0x1005c0,FUN_005005c0,true
IsRemote,0x87c534,0x871ce0,0x500600,0x100600,FUN_00500600,true
DisplayMessage,0x87cd40,0x872220,0x505350,0x105350,FUN_00505350,true
Send,0x87cd50,0x872228,0x5060f0,0x1060f0,FUN_005060f0,true
OpenODF,0x87cd58,0x872230,0x506310,0x106310,FUN_00506310,true
GetODFBool,0x87cd60,0x872238,0x5064d0,0x1064d0,FUN_005064d0,true
GetODFInt,0x87cd6c,0x872240,0x5065d0,0x1065d0,FUN_005065d0,true
GetODFFloat,0x87cd78,0x872248,0x5066a0,0x1066a0,FUN_005066a0,true
GetODFString,0x87cd84,0x872250,0x506780,0x106780,FUN_00506780,true
GetTerrainHeightAndNormal,0x87ce74,0x872258,0x506870,0x106870,FUN_00506870,true
GetFloorHeightAndNormal,0x87ce90,0x872260,0x506a40,0x106a40,FUN_00506a40,true
GetMissionFilename,0x87cea8,0x872268,0x506e40,0x106e40,FUN_00506e40,true
GetMapTRNFilename,0x87cebc,0x872270,0x506e60,0x106e60,FUN_00506e60,true
UseItem,0x87ced0,0x872278,0x506e80,0x106e80,FUN_00506e80,true
ColorFade,0x87ced8,0x872280,0x506ef0,0x106ef0,FUN_00506ef0,true
SetVector,0x87c610,0x871d48,0x500940,0x100940,FUN_00500940,true
DotProduct,0x87c61c,0x871d50,0x500a30,0x100a30,FUN_00500a30,true
CrossProduct,0x87c628,0x871d58,0x500a80,0x100a80,FUN_00500a80,true
Normalize,0x87c638,0x871d60,0x500b10,0x100b10,FUN_00500b10,true
Length,0x87c644,0x871d68,0x500b90,0x100b90,FUN_00500b90,true
LengthSquared,0x87c64c,0x871d70,0x500be0,0x100be0,FUN_00500be0,true
Distance2D,0x87c558,0x871d78,0x500c20,0x100c20,FUN_00500c20,true
Distance2DSquared,0x87c564,0x871d80,0x500c80,0x100c80,FUN_00500c80,true
Distance3D,0x87c578,0x871d88,0x500cd0,0x100cd0,FUN_00500cd0,true
Distance3DSquared,0x87c584,0x871d90,0x500d50,0x100d50,FUN_00500d50,true
SetMatrix,0x87c598,0x871d98,0x500dd0,0x100dd0,FUN_00500dd0,true
BuildAxisRotationMatrix,0x87c5a4,0x871da0,0x5010f0,0x1010f0,FUN_005010f0,true
BuildPositionRotationMatrix,0x87c5bc,0x871da8,0x501240,0x101240,FUN_00501240,true
BuildOrthogonalMatrix,0x87c5d8,0x871db0,0x5013f0,0x1013f0,FUN_005013f0,true
BuildDirectionalMatrix,0x87c6dc,0x871db8,0x5014a0,0x1014a0,FUN_005014a0,true
PortalOut,0x87ce5c,0x8722e0,0x5073c0,0x1073c0,FUN_005073c0,true
PortalIn,0x87ce68,0x8722e8,0x507410,0x107410,FUN_00507410,true
DeactivatePortal,0x87cf94,0x872300,0x507530,0x107530,FUN_00507530,true
ActivatePortal,0x87cf84,0x8722f8,0x5074d0,0x1074d0,FUN_005074d0,true
IsIn,0x87cf00,0x872330,0x507680,0x107680,FUN_00507680,true
BuildObjectAtPortal,0x87cf70,0x8722f0,0x507460,0x107460,FUN_00507460,true
Cloak,0x877fa8,0x872288,0x506f80,0x106f80,FUN_00506f80,true
Decloak,0x877fa0,0x872290,0x506fb0,0x106fb0,FUN_00506fb0,true
SetCloaked,0x87cee4,0x872298,0x506fe0,0x106fe0,FUN_00506fe0,true
SetDecloaked,0x87cef0,0x8722a0,0x507010,0x107010,FUN_00507010,true
IsCloaked,0x87cdfc,0x8722a8,0x507040,0x107040,FUN_00507040,true
EnableCloaking,0x87ce1c,0x8722b8,0x5070f0,0x1070f0,FUN_005070f0,true
EnableAllCloaking,0x87ce08,0x8722b0,0x507080,0x107080,FUN_00507080,true
Hide,0x87cfc8,0x872318,0x5075a0,0x1075a0,FUN_005075a0,true
UnHide,0x87cfd0,0x872320,0x5075d0,0x1075d0,FUN_005075d0,true
MakeExplosion,0x87cf18,0x872340,0x507720,0x107720,FUN_00507720,true
